STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,ALAND,AWATER
"31","039","00835841","31039",Cuming,Cuming County,"1477652222","10690952"
"53","069","01513275","53069",Wahkiakum,Wahkiakum County,"680962890","61582307"
"35","011","00933054","35011",De Baca,De Baca County,"6016819475","29089486"
"31","109","00835876","31109",Lancaster,Lancaster County,"2169270569","22849484"
"31","129","00835886","31129",Nuckolls,Nuckolls County,"1489645188","1718484"
"72","085","01804523","72085",Las Piedras,Las Piedras Municipio,"87748359","32509"
"46","099","01265772","46099",Minnehaha,Minnehaha County,"2089691755","18198481"
"48","327","01383949","48327",Menard,Menard County,"2336237982","613559"
"06","091","00277310","06091",Sierra,Sierra County,"2468694583","23299110"
"21","053","00516873","21053",Clinton,Clinton County,"510875755","21152699"
"39","063","01074044","39063",Hancock,Hancock County,"1376125660","6020647"
"48","189","01383880","48189",Hale,Hale County,"2602109427","246678"
"01","027","00161539","01027",Clay,Clay County,"1564251834","5285207"
"48","011","01383791","48011",Armstrong,Armstrong County,"2354581674","12219583"
"39","003","01074015","39003",Allen,Allen County,"1042479889","11259523"
"13","189","00348794","13189",McDuffie,McDuffie County,"666848710","23114025"
"55","111","01581115","55111",Sauk,Sauk County,"2153685971","45692999"
"05","137","00069902","05137",Stone,Stone County,"1570754768","7842161"
"41","063","01155135","41063",Wallowa,Wallowa County,"8147835329","14191752"
"42","007","01214112","42007",Beaver,Beaver County,"1125901370","24162727"
"28","061","00695754","28061",Jasper,Jasper County,"1751454613","3178416"
"29","083","00758496","29083",Henry,Henry County,"1805078265","91634021"
"08","109","00198170","08109",Saguache,Saguache County,"8206547705","4454510"
"37","037","01008544","37037",Chatham,Chatham County,"1765648430","70626784"
"49","033","01448030","49033",Rich,Rich County,"2664700960","149106532"
"40","001","01101788","40001",Adair,Adair County,"1486277939","8874158"
"39","085","01074055","39085",Lake,Lake County,"593807218","1942301625"
"51","775","01789074","51775",Salem,Salem city,"37602710","275156"
"51","121","01674630","51121",Montgomery,Montgomery County,"1001921573","6289787"
"47","065","01639749","47065",Hamilton,Hamilton County,"1404722581","86573147"
"35","035","00929104","35035",Otero,Otero County,"17126456785","36943378"
"35","003","00929108","35003",Catron,Catron County,"17933559836","14195265"
"01","091","00161572","01091",Marengo,Marengo County,"2530140237","14966620"
"56","023","01605076","56023",Lincoln,Lincoln County,"10555073735","49947393"
"29","011","00758460","29011",Barton,Barton County,"1533351029","12152201"
"48","057","01383814","48057",Calhoun,Calhoun County,"1312707005","1361884774"
"51","735","01498436","51735",Poquoson,Poquoson city,"39837595","163455830"
"54","075","01550044","54075",Pocahontas,Pocahontas County,"2435206760","4094092"
"48","077","01383824","48077",Clay,Clay County,"2819870186","72508536"
"51","095","01480135","51095",James City,James City County,"368724192","95246387"
"31","101","00835872","31101",Keith,Keith County,"2749531879","124672190"
"31","137","00835890","31137",Phelps,Phelps County,"1398048600","1646533"
"22","019","00558468","22019",Calcasieu,Calcasieu Parish,"2756144275","78003935"
"22","111","00559528","22111",Union,Union Parish,"2271261418","73624033"
"40","135","01101855","40135",Sequoyah,Sequoyah County,"1744289208","105113803"
"01","049","00161550","01049",DeKalb,DeKalb County,"2012676480","4121543"
"36","101","00974148","36101",Steuben,Steuben County,"3601520291","35040141"
"42","053","01213669","42053",Forest,Forest County,"1106623930","8356609"
"22","105","00559500","22105",Tangipahoa,Tangipahoa Parish,"2049482871","136678798"
"51","179","01480173","51179",Stafford,Stafford County,"697237202","28088011"
"26","109","01622997","26109",Menominee,Menominee County,"2704053268","761798738"
"18","073","00450494","18073",Jasper,Jasper County,"1449563753","4428654"
"13","025","00351605","13025",Brantley,Brantley County,"1147949245","10297607"
"13","171","00326713","13171",Lamar,Lamar County,"475264443","6044329"
"18","151","00450390","18151",Steuben,Steuben County,"799729298","35454787"
"48","361","01383966","48361",Orange,Orange County,"864501083","118476414"
"39","047","01074036","39047",Fayette,Fayette County,"1052469899","1694038"
"25","015","00606934","25015",Hampshire,Hampshire County,"1365534282","46667009"
"21","003","00516848","21003",Allen,Allen County,"891838779","19482100"
"37","001","01008531","37001",Alamance,Alamance County,"1096718106","27958505"
"20","073","00485003","20073",Greenwood,Greenwood County,"2961143639","24145021"
"25","025","00606939","25025",Suffolk,Suffolk County,"150863059","160514693"
"16","051","00399751","16051",Jefferson,Jefferson County,"2832617272","31168374"
"48","177","01383874","48177",Gonzales,Gonzales County,"2762704862","8204087"
"47","115","01639770","47115",Marion,Marion County,"1290472802","36484703"
"26","007","01622946","26007",Alpena,Alpena County,"1481127630","2908710755"
"21","231","00516962","21231",Wayne,Wayne County,"1186690748","67283816"
"47","185","01639800","47185",White,White County,"975592111","7113369"
"48","147","01383859","48147",Fannin,Fannin County,"2307251018","20847065"
"20","043","00484991","20043",Doniphan,Doniphan County,"1019105691","12424174"
"48","265","01383918","48265",Kerr,Kerr County,"2857603410","10245935"
"12","053","00295751","12053",Hernando,Hernando County,"1224962206","300591492"
"12","129","00306912","12129",Wakulla,Wakulla County,"1570615733","334902363"
"12","131","00295727","12131",Walton,Walton County,"2687740188","522795160"
"28","017","00695733","28017",Chickasaw,Chickasaw County,"1299608407","6380767"
"02","130","01419973","02130",Ketchikan Gateway,Ketchikan Gateway Borough,"12579378509","4651615675"
"26","035","01622960","26035",Clare,Clare County,"1461700232","28500461"
"20","157","00485042","20157",Republic,Republic County,"1857998461","7951912"
"12","127","00306921","12127",Volusia,Volusia County,"2852204344","857791723"
"40","017","01101796","40017",Canadian,Canadian County,"2322131002","23131671"
"72","115","01804538","72115",Quebradillas,Quebradillas Municipio,"58747683","30224116"
"78","030","02378250","78030",St. Thomas,St. Thomas Island,"81108425","717921377"
"13","115","00353665","13115",Floyd,Floyd County,"1320434485","22384089"
"32","001","00858638","32001",Churchill,Churchill County,"12821785223","190748448"
