RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,30/09/2020
3101,0,Los Angeles County,County,CA,CA,Los Angeles-Long Beach-Anaheim,6,37,677628
139,1,Cook County,County,IL,IL,Chicago-Naperville-Elgin,17,31,266504
1090,2,Harris County,County,TX,TX,Houston-The Woodlands-Sugar Land,48,201,209145
2402,3,Maricopa County,County,AZ,AZ,Phoenix-Mesa-Scottsdale,4,13,318895
2841,4,San Diego County,County,CA,CA,San Diego-Carlsbad,6,73,632264
1286,5,Orange County,County,CA,CA,Los Angeles-Long Beach-Anaheim,6,59,781911
581,6,Kings County,County,NY,NY,New York-Newark-Jersey City,36,47,640055
2964,7,Miami-Dade County,County,FL,FL,Miami-Fort Lauderdale-West Palm Beach,12,86,328391
978,8,Dallas County,County,TX,TX,Dallas-Fort Worth-Arlington,48,113,232054
1347,9,Queens County,County,NY,NY,New York-Newark-Jersey City,36,81,496694
2832,10,Riverside County,County,CA,CA,Riverside-San Bernardino-Ontario,6,65,419702
3250,11,San Bernardino County,County,CA,CA,Riverside-San Bernardino-Ontario,6,71,379622
445,12,Clark County,County,NV,NV,Las Vegas-Henderson-Paradise,32,3,302133
207,13,King County,County,WA,WA,Seattle-Tacoma-Bellevue,53,33,678745
791,14,Wayne County,County,MI,MI,Detroit-Warren-Dearborn,26,163,120467
2049,15,Tarrant County,County,TX,TX,Dallas-Fort Worth-Arlington,48,439,239710
3136,16,Santa Clara County,County,CA,CA,San Jose-Sunnyvale-Santa Clara,6,85,1223255
1561,17,Broward County,County,FL,FL,Miami-Fort Lauderdale-West Palm Beach,12,11,285870
386,18,Bexar County,County,TX,TX,San Antonio-New Braunfels,48,29,205088
2452,19,New York County,County,NY,NY,New York-Newark-Jersey City,36,61,951261
3175,20,Philadelphia County,County,PA,PA,Philadelphia-Camden-Wilmington,42,101,200279
1510,21,Alameda County,County,CA,CA,San Francisco-Oakland-Hayward,6,1,892658
2801,22,Middlesex County,County,MA,MA,Boston-Cambridge-Newton,25,17,591956
2046,23,Suffolk County,County,NY,NY,New York-Newark-Jersey City,36,103,707063
3017,24,Sacramento County,County,CA,CA,Sacramento--Roseville--Arden-Arcade,6,67,409714
401,25,Bronx County,County,NY,NY,New York-Newark-Jersey City,36,5,310412
1252,26,Nassau County,County,NY,NY,New York-Newark-Jersey City,36,59,585741
2993,27,Palm Beach County,County,FL,FL,Miami-Fort Lauderdale-West Palm Beach,12,99,303097
